질병명,진료과,증상,관련질환,동의어,부위,인덱싱문장
난소암(Ovarian cancer),"산부인과,종양내과","요통,비정상적 질출혈,복수,덩어리가 만져짐,골반 통증,생식기 출혈,복부 통증,무증상","자궁 상피 내 암종,자궁내막암,난소의 양성 종양,난소 낭종,다낭성 난소 증후군,난소, 난관 이상,자궁경부암","Malignant neoplasm of ovary,난소 악성 종양",배,"난소암(Ovarian cancer)은(는) 산부인과,종양내과에서 주로 진료하며, 증상은 요통,비정상적 질출혈,복수,덩어리가 만져짐,골반 통증,생식기 출혈,복부 통증,무증상이(가) 있다. 관련된 질환으로는 자궁 상피 내 암종,자궁내막암,난소의 양성 종양,난소 낭종,다낭성 난소 증후군,난소, 난관 이상,자궁경부암이(가) 있으며, 같은 이름으로는 Malignant neoplasm of ovary,난소 악성 종양과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
난소의 양성 종양(Benign ovary tumor),산부인과,"무증상,요통,골반 통증,빈뇨,배변장애,복부팽만감,복부 통증","난소, 난관 이상,난소암,난소 낭종,다낭성 난소 증후군",난소 양성 종양,배,"난소의 양성 종양(Benign ovary tumor)은(는) 산부인과에서 주로 진료하며, 증상은 무증상,요통,골반 통증,빈뇨,배변장애,복부팽만감,복부 통증이(가) 있다. 관련된 질환으로는 난소, 난관 이상,난소암,난소 낭종,다낭성 난소 증후군이(가) 있으며, 같은 이름으로는 난소 양성 종양과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
낭성 신장 질환(Cystic kidney disease),"신장내과,소아비뇨의학과,비뇨의학과,소아신장과","무증상,옆구리 통증,오심",신장의 신생물,"Polycystic kidney,다낭성 신증,신장물혹,PKD",배,"낭성 신장 질환(Cystic kidney disease)은(는) 신장내과,소아비뇨의학과,비뇨의학과,소아신장과에서 주로 진료하며, 증상은 무증상,옆구리 통증,오심이(가) 있다. 관련된 질환으로는 신장의 신생물이(가) 있으며, 같은 이름으로는 Polycystic kidney,다낭성 신증,신장물혹,PKD과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
다낭성 난소 증후군(Polycystic ovary syndrome),산부인과,"다모증,무월경,희발월경,소양감,여드름,불임,비정상적 질출혈","자궁내막암,당뇨병,자궁내막 이상증식증,무월경,다모증,인슐린 의존성 당뇨병,인슐린 비의존성 당뇨병",다낭성난소증,배,"다낭성 난소 증후군(Polycystic ovary syndrome)은(는) 산부인과에서 주로 진료하며, 증상은 다모증,무월경,희발월경,소양감,여드름,불임,비정상적 질출혈이(가) 있다. 관련된 질환으로는 자궁내막암,당뇨병,자궁내막 이상증식증,무월경,다모증,인슐린 의존성 당뇨병,인슐린 비의존성 당뇨병이(가) 있으며, 같은 이름으로는 다낭성난소증과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
다태아(Multifetal pregnancy),산부인과,오심,"전치 태반,자간증,이상 태위,태반 조기 박리,자간전증","쌍둥이,쌍태아,다태임신",배,"다태아(Multifetal pregnancy)은(는) 산부인과에서 주로 진료하며, 증상은 오심이(가) 있다. 관련된 질환으로는 전치 태반,자간증,이상 태위,태반 조기 박리,자간전증이(가) 있으며, 같은 이름으로는 쌍둥이,쌍태아,다태임신과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
단장 증후군(Short Bowel Syndrome),소화기내과,"복부 통증,지방변,빈혈,체중감소,설사","선천성 소장 결손, 폐쇄 및 협착,구루병,위장관 출혈,소장의 혈관 장애,십이지장 궤양","작은창자증후군,짧은 창자증후군",배,"단장 증후군(Short Bowel Syndrome)은(는) 소화기내과에서 주로 진료하며, 증상은 복부 통증,지방변,빈혈,체중감소,설사이(가) 있다. 관련된 질환으로는 선천성 소장 결손, 폐쇄 및 협착,구루병,위장관 출혈,소장의 혈관 장애,십이지장 궤양이(가) 있으며, 같은 이름으로는 작은창자증후군,짧은 창자증후군과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
담관암(Cholangiocarcinoma),"소화기내과,방사선종양학과,간이식ㆍ간담도외과,간담도췌외과,종양내과","회색변,피부소양감,진한 소변색,체중감소,황달","담석,총담관 담석,경화성 담관염,간디스토마,궤양성 대장염","담관악성종양,담관암종,담도암",배,"담관암(Cholangiocarcinoma)은(는) 소화기내과,방사선종양학과,간이식ㆍ간담도외과,간담도췌외과,종양내과에서 주로 진료하며, 증상은 회색변,피부소양감,진한 소변색,체중감소,황달이(가) 있다. 관련된 질환으로는 담석,총담관 담석,경화성 담관염,간디스토마,궤양성 대장염이(가) 있으며, 같은 이름으로는 담관악성종양,담관암종,담도암과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
담낭 선근종증(Aadenomyomatosis of Gallbladder),"간이식ㆍ간담도외과,간담도췌외과,소화기내과","산통,무증상,복부 통증","만성 담낭염,급성 담낭염,담석,담낭암,담낭 용종",담낭선근종,배,"담낭 선근종증(Aadenomyomatosis of Gallbladder)은(는) 간이식ㆍ간담도외과,간담도췌외과,소화기내과에서 주로 진료하며, 증상은 산통,무증상,복부 통증이(가) 있다. 관련된 질환으로는 만성 담낭염,급성 담낭염,담석,담낭암,담낭 용종이(가) 있으며, 같은 이름으로는 담낭선근종과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
담낭 용종(GB polyp),"간이식ㆍ간담도외과,간담도췌외과,소화기내과","복부 통증,무증상","급성 담낭염,담석,담낭암,담관암,만성 담낭염","담낭 양성용종,담낭 폴립,쓸개용종",배,"담낭 용종(GB polyp)은(는) 간이식ㆍ간담도외과,간담도췌외과,소화기내과에서 주로 진료하며, 증상은 복부 통증,무증상이(가) 있다. 관련된 질환으로는 급성 담낭염,담석,담낭암,담관암,만성 담낭염이(가) 있으며, 같은 이름으로는 담낭 양성용종,담낭 폴립,쓸개용종과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
담낭암(GB cancer),"소화기내과,간이식ㆍ간담도외과,방사선종양학과,간담도췌외과,종양내과","체중감소,오심,황달,복부 통증,구토,식욕부진","담석,석회화 담낭,총담관 담석,궤양성 대장염","담낭 선암종,담낭악성종양,쓸개악성종양,쓸개암",배,"담낭암(GB cancer)은(는) 소화기내과,간이식ㆍ간담도외과,방사선종양학과,간담도췌외과,종양내과에서 주로 진료하며, 증상은 체중감소,오심,황달,복부 통증,구토,식욕부진이(가) 있다. 관련된 질환으로는 담석,석회화 담낭,총담관 담석,궤양성 대장염이(가) 있으며, 같은 이름으로는 담낭 선암종,담낭악성종양,쓸개악성종양,쓸개암과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
담석(GB stone),"간이식ㆍ간담도외과,간담도췌외과,소화기내과","복부 통증,열,오한,황달,오심,소화불량,구토","총담관 담석,담관암,담낭암,담낭 용종,간내 담석,경화성 담관염","담석증,담낭결석",배,"담석(GB stone)은(는) 간이식ㆍ간담도외과,간담도췌외과,소화기내과에서 주로 진료하며, 증상은 복부 통증,열,오한,황달,오심,소화불량,구토이(가) 있다. 관련된 질환으로는 총담관 담석,담관암,담낭암,담낭 용종,간내 담석,경화성 담관염이(가) 있으며, 같은 이름으로는 담석증,담낭결석과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
대동맥류(Aortic aneurysm),"심장병원,심장내과","복부 통증,가슴 통증,실신","복부 대동맥류,동맥류,발살바동 동맥류 파열,뇌동맥류,흉부 대동맥류",동의어가 없다',배,"대동맥류(Aortic aneurysm)은(는) 심장병원,심장내과에서 주로 진료하며, 증상은 복부 통증,가슴 통증,실신이(가) 있다. 관련된 질환으로는 복부 대동맥류,동맥류,발살바동 동맥류 파열,뇌동맥류,흉부 대동맥류이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
대장 용종(Polyp of colon),소화기내과,"복부 통증,장폐색,무증상,점액변,설사,혈변","대장암,대장의 양성 종양,대장염,장폐색,위용종","선종성 용종,용종",배,"대장 용종(Polyp of colon)은(는) 소화기내과에서 주로 진료하며, 증상은 복부 통증,장폐색,무증상,점액변,설사,혈변이(가) 있다. 관련된 질환으로는 대장암,대장의 양성 종양,대장염,장폐색,위용종이(가) 있으며, 같은 이름으로는 선종성 용종,용종과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
대장암(Colon cancer),"대장항문외과,소화기내과,방사선종양학과,종양내과","잔변감,소화불량,혈변,복부 통증,배변습관의 변화,흑색변,점액변","변비,대장의 양성 종양,대장 용종","결장암,대장악성종양,대장암종,대장의 악성신생물",배,"대장암(Colon cancer)은(는) 대장항문외과,소화기내과,방사선종양학과,종양내과에서 주로 진료하며, 증상은 잔변감,소화불량,혈변,복부 통증,배변습관의 변화,흑색변,점액변이(가) 있다. 관련된 질환으로는 변비,대장의 양성 종양,대장 용종이(가) 있으며, 같은 이름으로는 결장암,대장악성종양,대장암종,대장의 악성신생물과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
대장염(Colitis),소화기내과,"설사,배변습관의 변화,점액변","바이러스성 장염,급성 충수염,게실 질환","급성 대장염,대장질환,만성 대장염",배,"대장염(Colitis)은(는) 소화기내과에서 주로 진료하며, 증상은 설사,배변습관의 변화,점액변이(가) 있다. 관련된 질환으로는 바이러스성 장염,급성 충수염,게실 질환이(가) 있으며, 같은 이름으로는 급성 대장염,대장질환,만성 대장염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
대장의 양성 종양(Benign colon tumor),"대장항문외과,소화기내과","점액변,혈변","대장 용종,대장균 감염,대장염,궤양성 대장염",대장양성종양,배,"대장의 양성 종양(Benign colon tumor)은(는) 대장항문외과,소화기내과에서 주로 진료하며, 증상은 점액변,혈변이(가) 있다. 관련된 질환으로는 대장 용종,대장균 감염,대장염,궤양성 대장염이(가) 있으며, 같은 이름으로는 대장양성종양과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
덤핑 증후군(Dumping syndrome),소화기내과,"복부 통증,복부팽만감,오심,저혈당,구토,빈맥,어지러움","진행성 위암,위암,조기 위암",동의어가 없다',배,"덤핑 증후군(Dumping syndrome)은(는) 소화기내과에서 주로 진료하며, 증상은 복부 통증,복부팽만감,오심,저혈당,구토,빈맥,어지러움이(가) 있다. 관련된 질환으로는 진행성 위암,위암,조기 위암이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
독성 간염(Toxic hepatitis),소화기내과,"관절통,황달,무증상,열,복부 통증,오심,피로감,식욕부진,구토,발진","간염,자가면역성 간염,약물 발진,전격성 간염,약물 유발성 자가면역성 용혈성 빈혈","약물 유인성 간염,약인성 간염",배,"독성 간염(Toxic hepatitis)은(는) 소화기내과에서 주로 진료하며, 증상은 관절통,황달,무증상,열,복부 통증,오심,피로감,식욕부진,구토,발진이(가) 있다. 관련된 질환으로는 간염,자가면역성 간염,약물 발진,전격성 간염,약물 유발성 자가면역성 용혈성 빈혈이(가) 있으며, 같은 이름으로는 약물 유인성 간염,약인성 간염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
레리시 증후군(Leriche Syndrome),,"발기부전,불임,저림","고콜레스테롤혈증,고혈압,죽상경화증",동의어가 없다',배,"레리시 증후군(Leriche Syndrome)은(는) <진료과>에서 주로 진료하며, 증상은 발기부전,불임,저림이(가) 있다. 관련된 질환으로는 고콜레스테롤혈증,고혈압,죽상경화증이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
만기 정상 분만(Normal full term spontaneous delivery),산부인과,이슬,조산,"분만,정상분만,출산",배,"만기 정상 분만(Normal full term spontaneous delivery)은(는) 산부인과에서 주로 진료하며, 증상은 이슬이(가) 있다. 관련된 질환으로는 조산이(가) 있으며, 같은 이름으로는 분만,정상분만,출산과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
만성 B형 간염(Chronic hepatitis B),"간이식ㆍ간담도외과,소아소화기영양과,소화기내과","복부 통증,식욕부진,진한 소변색,열,구토,피부소양감,무증상,황달,오심,관절통","간세포성 암종,간경화,전격성 간염,급성 바이러스성 간염,간염,독성 간염,급성 B형 간염,만성 C형 간염",B형간염,배,"만성 B형 간염(Chronic hepatitis B)은(는) 간이식ㆍ간담도외과,소아소화기영양과,소화기내과에서 주로 진료하며, 증상은 복부 통증,식욕부진,진한 소변색,열,구토,피부소양감,무증상,황달,오심,관절통이(가) 있다. 관련된 질환으로는 간세포성 암종,간경화,전격성 간염,급성 바이러스성 간염,간염,독성 간염,급성 B형 간염,만성 C형 간염이(가) 있으며, 같은 이름으로는 B형간염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
만성 C형 간염(Chronic hepatitis C),소화기내과,"소화불량,황달,피로감,복부 불편감,무증상","간세포성 암종,간경화,전격성 간염,독성 간염,급성 C형 간염,간염,만성 B형 간염,급성 바이러스성 간염",C형간염,배,"만성 C형 간염(Chronic hepatitis C)은(는) 소화기내과에서 주로 진료하며, 증상은 소화불량,황달,피로감,복부 불편감,무증상이(가) 있다. 관련된 질환으로는 간세포성 암종,간경화,전격성 간염,독성 간염,급성 C형 간염,간염,만성 B형 간염,급성 바이러스성 간염이(가) 있으며, 같은 이름으로는 C형간염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
만성 담낭염(Chronic cholecystitis),"간이식ㆍ간담도외과,간담도췌외과,소화기내과","구토,복부 불편감,오심,방사통","담석,담낭암,급성 담낭염","담낭염,담낭염증,쓸개염,쓸개염증",배,"만성 담낭염(Chronic cholecystitis)은(는) 간이식ㆍ간담도외과,간담도췌외과,소화기내과에서 주로 진료하며, 증상은 구토,복부 불편감,오심,방사통이(가) 있다. 관련된 질환으로는 담석,담낭암,급성 담낭염이(가) 있으며, 같은 이름으로는 담낭염,담낭염증,쓸개염,쓸개염증과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
만성 신부전(Chronic renal failure),"소아청소년심장과,신장내과,신ㆍ췌장이식외과","복수,식욕부진,만성 신부전,혼수,피로감,빈혈,감각 이상,고혈압,면역기능 이상,피부 긴장도 저하,피부소양감","낭성 신장 질환,급성 신부전,사구체신염,신부전,당뇨병,고혈압,알포트 증후군",만성콩팥기능상실증,배,"만성 신부전(Chronic renal failure)은(는) 소아청소년심장과,신장내과,신ㆍ췌장이식외과에서 주로 진료하며, 증상은 복수,식욕부진,만성 신부전,혼수,피로감,빈혈,감각 이상,고혈압,면역기능 이상,피부 긴장도 저하,피부소양감이(가) 있다. 관련된 질환으로는 낭성 신장 질환,급성 신부전,사구체신염,신부전,당뇨병,고혈압,알포트 증후군이(가) 있으며, 같은 이름으로는 만성콩팥기능상실증과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
만성 신우신염(Chronic pyelonephritis),"소아신장과,감염내과,신장내과",질병명과 같은 증상,"급성 방광염,방광요관 역류,요관 협착,요로 감염,요로결석,신우요관 폐색,급성 신우신염,간질성 방광염",만성 신우염,배,"만성 신우신염(Chronic pyelonephritis)은(는) 소아신장과,감염내과,신장내과에서 주로 진료하며, 증상은 질병명과 같은 증상이(가) 있다. 관련된 질환으로는 급성 방광염,방광요관 역류,요관 협착,요로 감염,요로결석,신우요관 폐색,급성 신우신염,간질성 방광염이(가) 있으며, 같은 이름으로는 만성 신우염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
만성 위염(Chronic gastritis),소화기내과,"복부 통증,오심,가슴 답답,설사,토혈,복부 압박 증상,소화불량,복부팽만감,권태감","위염,위암,진행성 위암,조기 위암,위장관 출혈,헬리코박터균 감염,위궤양",동의어가 없다',배,"만성 위염(Chronic gastritis)은(는) 소화기내과에서 주로 진료하며, 증상은 복부 통증,오심,가슴 답답,설사,토혈,복부 압박 증상,소화불량,복부팽만감,권태감이(가) 있다. 관련된 질환으로는 위염,위암,진행성 위암,조기 위암,위장관 출혈,헬리코박터균 감염,위궤양이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
만성 췌장염(Chronic pancreatitis),"소화기내과,간담도췌외과","방사통,지방변,체중감소,복부 통증,당뇨","췌장암,급성 췌장염,췌장 전이암,췌장염",재발성 췌장염,배,"만성 췌장염(Chronic pancreatitis)은(는) 소화기내과,간담도췌외과에서 주로 진료하며, 증상은 방사통,지방변,체중감소,복부 통증,당뇨이(가) 있다. 관련된 질환으로는 췌장암,급성 췌장염,췌장 전이암,췌장염이(가) 있으며, 같은 이름으로는 재발성 췌장염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
말기 신질환(End stage renal disease),"신장내과,소아신장과,신ㆍ췌장이식외과","멍,무뇨,오심,피로감,출혈 경향성,소변량 감소,혼수,피부소양감,전신 부종,혈변","만성 신부전,급성 신부전,신부전",말기 신장(콩팥)병,배,"말기 신질환(End stage renal disease)은(는) 신장내과,소아신장과,신ㆍ췌장이식외과에서 주로 진료하며, 증상은 멍,무뇨,오심,피로감,출혈 경향성,소변량 감소,혼수,피부소양감,전신 부종,혈변이(가) 있다. 관련된 질환으로는 만성 신부전,급성 신부전,신부전이(가) 있으며, 같은 이름으로는 말기 신장(콩팥)병과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
말로리-바이스 증후군(Mallory-weiss Syndrome),소화기내과,"토혈,구토,오심,위장관 출혈",위장관 출혈,"말로리 웨이즈 증후군,맬러리-바이스증후군,맬러리바이스증후군",배,"말로리-바이스 증후군(Mallory-weiss Syndrome)은(는) 소화기내과에서 주로 진료하며, 증상은 토혈,구토,오심,위장관 출혈이(가) 있다. 관련된 질환으로는 위장관 출혈이(가) 있으며, 같은 이름으로는 말로리 웨이즈 증후군,맬러리-바이스증후군,맬러리바이스증후군과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
맹장염(Appendicitis),대장항문외과,"복부 통증,변비,옆구리 통증,압통,설사","복막염,메켈 게실,게실 질환,패혈증","꼬리염,충수돌기염,충수염",배,"맹장염(Appendicitis)은(는) 대장항문외과에서 주로 진료하며, 증상은 복부 통증,변비,옆구리 통증,압통,설사이(가) 있다. 관련된 질환으로는 복막염,메켈 게실,게실 질환,패혈증이(가) 있으며, 같은 이름으로는 꼬리염,충수돌기염,충수염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
메켈 게실(Meckel's diverticulum),소화기내과,"피부 긴장도 저하,창백,철결핍성 빈혈,구토,장폐색,혈변","장폐색,철결핍빈혈",동의어가 없다',배,"메켈 게실(Meckel's diverticulum)은(는) 소화기내과에서 주로 진료하며, 증상은 피부 긴장도 저하,창백,철결핍성 빈혈,구토,장폐색,혈변이(가) 있다. 관련된 질환으로는 장폐색,철결핍빈혈이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
면역글로불린 A 신병증(IgA nephropathy),"신장내과,소아신장과","고혈압,옆구리 통증,전신 부종,단백뇨,혈뇨","신부전,사구체신염,만성 신부전,신증후군,상기도 감염","면역글로불린 A 신병증,면역글로빈 A 신병증,버거병,버거스씨병,Bergers disease,IgA 신병증,IgA 신증",배,"면역글로불린 A 신병증(IgA nephropathy)은(는) 신장내과,소아신장과에서 주로 진료하며, 증상은 고혈압,옆구리 통증,전신 부종,단백뇨,혈뇨이(가) 있다. 관련된 질환으로는 신부전,사구체신염,만성 신부전,신증후군,상기도 감염이(가) 있으며, 같은 이름으로는 면역글로불린 A 신병증,면역글로빈 A 신병증,버거병,버거스씨병,Bergers disease,IgA 신병증,IgA 신증과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
무월경(Amenorrhea),"내분비내과,산부인과","복부 통증,무월경,불임,복부팽만감,비정상적 질출혈,갱년기 증상","갑상선기능저하증,모호한 생식기,폐경,갑상선중독증,뇌하수체 기능부전,골다공증,성선기능저하증,다낭성 난소 증후군,섭식 장애,여성 불임,폐경기 및 여성의 갱년기 상태,원발성 월경곤란,고환 여성화 증후군,뇌하수체 기능 항진,갑상선기능항진증,넬슨 증후군",amenorrhoea,배,"무월경(Amenorrhea)은(는) 내분비내과,산부인과에서 주로 진료하며, 증상은 복부 통증,무월경,불임,복부팽만감,비정상적 질출혈,갱년기 증상이(가) 있다. 관련된 질환으로는 갑상선기능저하증,모호한 생식기,폐경,갑상선중독증,뇌하수체 기능부전,골다공증,성선기능저하증,다낭성 난소 증후군,섭식 장애,여성 불임,폐경기 및 여성의 갱년기 상태,원발성 월경곤란,고환 여성화 증후군,뇌하수체 기능 항진,갑상선기능항진증,넬슨 증후군이(가) 있으며, 같은 이름으로는 amenorrhoea과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
무증상 세균뇨(Asymptomatic bacteriuria),"비뇨의학과,감염내과",무증상,"방광의 신경근육 기능 장애,요로 감염,당뇨병",동의어가 없다',배,"무증상 세균뇨(Asymptomatic bacteriuria)은(는) 비뇨의학과,감염내과에서 주로 진료하며, 증상은 무증상이(가) 있다. 관련된 질환으로는 방광의 신경근육 기능 장애,요로 감염,당뇨병이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
문맥색전증(Portal vein thrombosis),"소아소화기영양과,혈관외과,소화기내과","저혈압,문맥성고혈압,복수","동맥색전증 및 혈전증,간경화,간세포성 암종,식도 정맥류",문맥색전,배,"문맥색전증(Portal vein thrombosis)은(는) 소아소화기영양과,혈관외과,소화기내과에서 주로 진료하며, 증상은 저혈압,문맥성고혈압,복수이(가) 있다. 관련된 질환으로는 동맥색전증 및 혈전증,간경화,간세포성 암종,식도 정맥류이(가) 있으며, 같은 이름으로는 문맥색전과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
미세변화 신증후군(Minimal change nephrotic syndrome),"소아신장과,신장내과","전신 부종,두통,피로감,단백뇨",신증후군,동의어가 없다',배,"미세변화 신증후군(Minimal change nephrotic syndrome)은(는) 소아신장과,신장내과에서 주로 진료하며, 증상은 전신 부종,두통,피로감,단백뇨이(가) 있다. 관련된 질환으로는 신증후군이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
바렛 식도(Barrett's esophagus),소화기내과,"작열감,가슴 쓰림,혈변,목의 이물감,가슴 통증,체중감소,삼키기 곤란,식욕부진,토혈",위식도 역류성 질환,동의어가 없다',배,"바렛 식도(Barrett's esophagus)은(는) 소화기내과에서 주로 진료하며, 증상은 작열감,가슴 쓰림,혈변,목의 이물감,가슴 통증,체중감소,삼키기 곤란,식욕부진,토혈이(가) 있다. 관련된 질환으로는 위식도 역류성 질환이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
바이러스성 장염(Viral enteritis(Rota)),"소화기내과,가정의학과,노년내과,소아소화기영양과,소아감염과,소아호흡기ㆍ알레르기센터,소아중환자과,소아신장과,신생아과","열,탈수,콧물,구토,설사,기침","급성 위장염,대장염,식중독,노로바이러스 장염","Viral enteritis,로타바이러스,로타바이러스 장염,장염",배,"바이러스성 장염(Viral enteritis(Rota))은(는) 소화기내과,가정의학과,노년내과,소아소화기영양과,소아감염과,소아호흡기ㆍ알레르기센터,소아중환자과,소아신장과,신생아과에서 주로 진료하며, 증상은 열,탈수,콧물,구토,설사,기침이(가) 있다. 관련된 질환으로는 급성 위장염,대장염,식중독,노로바이러스 장염이(가) 있으며, 같은 이름으로는 Viral enteritis,로타바이러스,로타바이러스 장염,장염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
바터 팽대부 암(AOV cancer),"종양내과,방사선종양학과,간담도췌외과,소화기내과,간이식ㆍ간담도외과","황달,복부 통증,체중감소,피로감,회색변,식욕부진,진한 소변색,피부소양감,흑색변",췌장암,십이지장 유두암,배,"바터 팽대부 암(AOV cancer)은(는) 종양내과,방사선종양학과,간담도췌외과,소화기내과,간이식ㆍ간담도외과에서 주로 진료하며, 증상은 황달,복부 통증,체중감소,피로감,회색변,식욕부진,진한 소변색,피부소양감,흑색변이(가) 있다. 관련된 질환으로는 췌장암이(가) 있으며, 같은 이름으로는 십이지장 유두암과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
반티 증후군(Banti syndrome),소화기내과,"혈소판감소,복부 통증,빈혈,위장관 출혈","식도 정맥류,위 정맥류",특발성 문맥고혈압,배,"반티 증후군(Banti syndrome)은(는) 소화기내과에서 주로 진료하며, 증상은 혈소판감소,복부 통증,빈혈,위장관 출혈이(가) 있다. 관련된 질환으로는 식도 정맥류,위 정맥류이(가) 있으며, 같은 이름으로는 특발성 문맥고혈압과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
반흔 탈장(Incisonal hernia),"위장관외과,소아외과","탈장 부위의 통증,탈장,탈장 돌출,복부팽만감","반흔 탈장,제대 탈장","절개 헤르니아,절개부 탈장,절개성 탈장,절개허니아,반흔성 탈장",배,"반흔 탈장(Incisonal hernia)은(는) 위장관외과,소아외과에서 주로 진료하며, 증상은 탈장 부위의 통증,탈장,탈장 돌출,복부팽만감이(가) 있다. 관련된 질환으로는 반흔 탈장,제대 탈장이(가) 있으며, 같은 이름으로는 절개 헤르니아,절개부 탈장,절개성 탈장,절개허니아,반흔성 탈장과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
방광소장 누공(Vesicointestinal fistula),비뇨의학과,"배변습관의 변화,혈뇨,분뇨","게실 질환,크론병,방광질 누공",동의어가 없다',배,"방광소장 누공(Vesicointestinal fistula)은(는) 비뇨의학과에서 주로 진료하며, 증상은 배변습관의 변화,혈뇨,분뇨이(가) 있다. 관련된 질환으로는 게실 질환,크론병,방광질 누공이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
방광암(Bladder cancer),"종양내과,방사선종양학과,비뇨의학과","긴박뇨,하지부종,골반 통증,옆구리 통증,덩어리가 만져짐,혈뇨,배뇨 시 통증","배뇨통,혈뇨,방광요관 역류","Malignant neoplasm of bladder,방광 내 신생물,방광선암",배,"방광암(Bladder cancer)은(는) 종양내과,방사선종양학과,비뇨의학과에서 주로 진료하며, 증상은 긴박뇨,하지부종,골반 통증,옆구리 통증,덩어리가 만져짐,혈뇨,배뇨 시 통증이(가) 있다. 관련된 질환으로는 배뇨통,혈뇨,방광요관 역류이(가) 있으며, 같은 이름으로는 Malignant neoplasm of bladder,방광 내 신생물,방광선암과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
방광의 신경근육 기능 장애(Neuromuscular dysfunction of bladder),비뇨의학과,"배뇨 시 통증,배뇨곤란,빈뇨,소변이 샘","과민성 방광,저활동성 방광,신경인성 방광",방광의 신경근 기능장애,배,"방광의 신경근육 기능 장애(Neuromuscular dysfunction of bladder)은(는) 비뇨의학과에서 주로 진료하며, 증상은 배뇨 시 통증,배뇨곤란,빈뇨,소변이 샘이(가) 있다. 관련된 질환으로는 과민성 방광,저활동성 방광,신경인성 방광이(가) 있으며, 같은 이름으로는 방광의 신경근 기능장애과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
